movie_name,date,time,quadrant,tank_side,sample,test_line,alter,ref_dob,pat_line,pat_gen,mat_line,mat_gen,fps
20211117_1326_R.avi,20211117,1326,q1,R,20211117_1326_38-2_21-2_R_q1,Pair 11,22.3/29.3.21,17.03.21,38-2,F15,21-2,F15,30
20211117_1326_R.avi,20211117,1326,q2,R,20211117_1326_38-2_21-2_R_q2,Pair 11,22.3/29.3.21,17.03.21,38-2,F15,21-2,F15,30
20211117_1326_R.avi,20211117,1326,q3,R,20211117_1326_50-2_38-2_R_q3,Pair 13 F2,21.03./29.03.21,24.03.21,50-2,F15,38-2,F15,30
20211117_1326_R.avi,20211117,1326,q4,R,20211117_1326_38-2_21-2_R_q4,Pair 11,22.3/29.3.21,24.03.21,38-2,F15,21-2,F15,30
20211117_1429_R.avi,20211117,1429,q1,R,20211117_1429_50-2_38-2_R_q1,Pair 13 F2,21.03./29.03.21,17.03.21,50-2,F15,38-2,F15,
20211117_1429_R.avi,20211117,1429,q2,R,20211117_1429_50-2_38-2_R_q2,Pair 13 F2,21.03./29.03.21,17.03.21,50-2,F15,38-2,F15,
20211117_1429_R.avi,20211117,1429,q3,R,20211117_1429_50-2_38-2_R_q3,Pair 13 F2,28.3/31.3/1.4.21,10.03.21,50-2,F15,38-2,F15,
20211117_1429_R.avi,20211117,1429,q4,R,20211117_1429_50-2_38-2_R_q4,Pair 13 F2,28.3/31.3/1.4.21,10.03.21,50-2,F15,38-2,F15,
20211118_1017_R.avi,20211118,1017,q1,R,20211118_1017_38-2_40-1_R_q1,Pair 12 F2,22.03/31.03/07.04.21,06.04.21,38-2,F15,40-1,F15,
20211118_1017_R.avi,20211118,1017,q2,R,20211118_1017_38-2_40-1_R_q2,Pair 12 F2,22.03/31.03/07.04.21,06.04.21,38-2,F15,40-1,F15,
20211118_1017_R.avi,20211118,1017,q3,R,20211118_1017_38-2_40-1_R_q3,Pair 12 F2,22.03/31.03/07.04.21,09.04.21,38-2,F15,40-1,F15,
20211118_1017_R.avi,20211118,1017,q4,R,20211118_1017_38-2_40-1_R_q4,Pair 12 F2,22.03/31.03/07.04.21,06.04.21,38-2,F15,40-1,F15,
20211118_1110_R.avi,20211118,1110,q1,R,20211118_1110_38-2_40-1_R_q1,Pair 12 F2,22.03/31.03/07.04.21,09.04.21,38-2,F15,40-1,F15,
20211118_1110_R.avi,20211118,1110,q2,R,20211118_1110_38-2_40-1_R_q2,Pair 12 F2,22.03/31.03/07.04.21,09.04.21,38-2,F15,40-1,F15,
20211118_1110_R.avi,20211118,1110,q3,R,20211118_1110_8-2_40-1_R_q3,Pair 7 F2,28.03./09.04.21,09.04.21,8-2,F14,40-1,F15,
20211118_1110_R.avi,20211118,1110,q4,R,20211118_1110_8-2_40-1_R_q4,Pair 7 F2,28.03./09.04.21,09.04.21,8-2,F14,40-1,F15,
20211125_0910_R.avi,20211125,910,q1,R,20211125_0910_8-2_40-1_R_q1,Pair 7 F2,19./22./28.03/09.4.21,10.03.21,8-2,F14,40-1,F15,
20211125_0910_R.avi,20211125,910,q2,R,20211125_0910_8-2_40-1_R_q2,Pair 7 F2,19./22./28.03/09.4.21,10.03.21,8-2,F14,40-1,F15,
20211125_0910_R.avi,20211125,910,q3,R,20211125_0910_8-2_40-1_R_q3,Pair 7 F2,19./22./28.03/09.4.21,10.03.21,8-2,F14,40-1,F15,
20211125_0910_R.avi,20211125,910,q4,R,20211125_0910_8-2_40-1_R_q4,Pair 7 F2,19./22./28.03/09.4.21,10.03.21,8-2,F14,40-1,F15,
20211125_1006_R.avi,20211125,1006,q1,R,20211125_1006_21-2_40-1_R_q1,Pair 4 F2,15.03./24.03./20.04.21,17.03.21,21-2,F16,40-1,F16,
20211125_1006_R.avi,20211125,1006,q2,R,20211125_1006_21-2_40-1_R_q2,Pair 4 F2,15.03./24.03./20.04.21,17.03.21,21-2,F16,40-1,F16,
20211125_1006_R.avi,20211125,1006,q4,R,20211125_1006_21-2_40-1_R_q4,Pair 4 F2,15.03./24.03./20.04.21,17.03.21,21-2,F16,40-1,F16,
20211125_1343_R.avi,20211125,1343,q1,R,20211125_1343_21-2_50-2_R_q1,Pair 1 F2,13.04./28.04.21,09.04.21,21-2,F15,50-2,F15,
20211125_1343_R.avi,20211125,1343,q2,R,20211125_1343_21-2_50-2_R_q2,Pair 1 F2,13.04./28.04.21,09.04.21,21-2,F15,50-2,F15,
20211125_1343_R.avi,20211125,1343,q4,R,20211125_1343_21-2_50-2_R_q4,Pair 1 F2,13.04./28.04.21,09.04.21,21-2,F15,50-2,F15,
20211125_1445_R.avi,20211125,1445,q1,R,20211125_1445_21-2_40-1_R_q1,Pair 4 F2,24.03./22.04.21,15.04.21,21-2,F16,40-1,F16,
20211125_1445_R.avi,20211125,1445,q2,R,20211125_1445_21-2_40-1_R_q2,Pair 4 F2,24.03./22.04.21,15.04.21,21-2,F16,40-1,F16,
20211125_1445_R.avi,20211125,1445,q3,R,20211125_1445_21-2_40-1_R_q3,Pair 4 F2,24.03./22.04.21,06.04.21,21-2,F16,40-1,F16,
20211125_1445_R.avi,20211125,1445,q4,R,20211125_1445_21-2_40-1_R_q4,Pair 4 F2,24.03./22.04.21,06.04.21,21-2,F16,40-1,F16,
20211130_0944_R.avi,20211130,944,q1,R,20211130_0944_21-2_40-1_R_q1,Pair 4 F2,24.03./22.04.21,09.04.21,21-2,F16,40-1,F16,
20211130_0944_R.avi,20211130,944,q2,R,20211130_0944_21-2_40-1_R_q2,Pair 4 F2,24.03./22.04.21,09.04.21,21-2,F16,40-1,F16,
