sample,date,time,tank_side,of_start,of_end,no_start,no_end,fps,adj_top,adj_right,bound_left,bound_right,bound_top,bound_bottom,of_video_length,no_video_length,bgsub_of_q1,bgsub_of_q2,bgsub_of_q3,bgsub_of_q4,bgsub_no_q1,bgsub_no_q2,bgsub_no_q3,bgsub_no_q4,intensity_floor_of_q1,intensity_floor_of_q2,intensity_floor_of_q3,intensity_floor_of_q4,intensity_floor_no_q1,intensity_floor_no_q2,intensity_floor_no_q3,intensity_floor_no_q4,intensity_ceiling_of_q1,intensity_ceiling_of_q2,intensity_ceiling_of_q3,intensity_ceiling_of_q4,intensity_ceiling_no_q1,intensity_ceiling_no_q2,intensity_ceiling_no_q3,intensity_ceiling_no_q4,area_floor_of_q1,area_floor_of_q2,area_floor_of_q3,area_floor_of_q4,area_floor_no_q1,area_floor_no_q2,area_floor_no_q3,area_floor_no_q4,area_ceiling_of_q1,area_ceiling_of_q2,area_ceiling_of_q3,area_ceiling_of_q4,area_ceiling_no_q1,area_ceiling_no_q2,area_ceiling_no_q3,area_ceiling_no_q4,cab_coords_of_q1,cab_coords_of_q2,cab_coords_of_q3,cab_coords_of_q4,cab_coords_no_q1,cab_coords_no_q2,cab_coords_no_q3,cab_coords_no_q4
20211207_1439_R,20211207,1439,R,3952,45623,47180,89329,69,0,-1,18,17,20,20,NA,42149,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,160,160,160,160,140,140,180,180,10,10,10,10,10,10,70,70,1000,1000,1000,1000,1000,1000,1000,1000,Right,Right,Top,Top,Bottom,Left,Left,Left
20211209_1319_R,20211209,1319,R,4578,46138,47704,89866,69,-2,-3,18,17,20,20,NA,42162,False,False,True,False,False,True,False,False,0,0,0,0,0,0,0,0,160,160,145,160,140,130,180,180,10,10,10,10,10,40,70,70,1000,1000,1000,1000,1000,1000,1000,1000,Top,Top,Top,Top,Left,Right,Top,Bottom
20211209_1424_R,20211209,1424,R,4360,46137,48195,90335,69,-1,-3,16,19,18,21,NA,42140,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,160,160,160,160,140,140,180,180,10,10,10,10,10,10,70,70,1000,1000,1000,1000,1000,1000,1000,1000,Bottom,Left,Left,Top,Top,Top,Right,Left
20211210_0936_R,20211210,0936,R,4303,45296,47208,89156,68,-1,0,18,17,19,21,NA,41948,True,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,145,160,160,160,140,140,180,180,10,10,10,10,10,10,70,70,1000,1000,1000,1000,1000,1000,1000,1000,Left,Left,Right,Right,Top,Bottom,Bottom,Top
20211210_1036_R,20211210,1036,R,3928,45469,47374,88795,69,0,0,18,17,19,20,NA,41421,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,160,160,155,160,140,140,180,180,10,10,10,10,10,10,70,70,1000,1000,1000,1000,1000,1000,1000,1000,Right,Bottom,Left,Left,Top,Top,Bottom,Top
20211210_1346_R,20211210,1346,R,5147,45957,47872,89281,68,0,-1,18,17,20,19,NA,41409,False,False,False,False,False,True,False,False,0,0,0,0,0,0,0,0,160,160,160,160,140,100,180,180,10,10,10,10,10,10,70,70,1000,1000,1000,1000,1000,1000,1000,1000,Right,Left,Bottom,Right,Left,Left,Left,Right
20211213_1004_R,20211213,1004,R,3698,45445,46995,88980,69,-2,-1,16,17,19,20,NA,41985,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,160,160,160,160,140,140,180,180,10,10,10,10,10,10,70,70,1000,1000,1000,1000,1000,1000,1000,1000,Left,Top,Left,Bottom,Right,Left,Top,Bottom
20211213_1353_R,20211213,1353,R,3292,44547,47251,87683,68,0,-1,16,17,19,20,NA,40432,False,False,False,False,False,True,False,False,0,0,0,0,0,0,0,0,160,160,160,160,140,162,180,180,10,10,10,10,10,12,70,70,1000,1000,1000,1000,1000,1000,1000,1000,Top,Bottom,Right,Top,Bottom,Right,Left,Top
20211215_0952_R,20211215,0952,R,3901,42908,44859,85586,66,0,1,18,17,19,20,NA,40727,False,False,True,False,True,False,False,False,0,0,0,0,0,0,0,0,160,160,155,160,155,140,180,180,10,10,10,10,10,10,70,70,1000,1000,1000,1000,1000,1000,1000,1000,Bottom,Right,Right,Top,Right,Left,Bottom,Right
20211215_1423_R,20211215,1423,R,1599,19548,20425,38477,30,-2,1,18,17,19,19,NA,18052,False,False,True,False,False,False,False,False,0,0,0,0,0,0,0,0,160,160,155,160,140,140,180,180,10,10,10,10,10,10,70,70,1000,1000,1000,1000,1000,1000,1000,1000,Top,Left,Left,Right,Right,Top,Left,Bottom
20211217_0951_R,20211217,0951,R,1646,19494,20420,38370,30,-1,-3,16,17,19,19,NA,17950,False,False,False,False,True,False,False,True,0,0,0,0,0,0,0,0,160,160,160,160,147,155,180,130,10,10,10,10,10,20,70,6,1000,1000,1000,1000,1000,1000,1000,149,Top,Right,Bottom,Top,Bottom,Bottom,Top,Top
20211217_1106_R,20211217,1106,R,1705,19728,20502,38525,30,0,-3,18,17,20,19,NA,18023,False,False,False,False,False,True,False,False,0,0,0,0,0,0,0,0,160,160,160,160,140,160,180,180,10,10,10,10,10,10,70,70,1000,1000,1000,1000,1000,1000,1000,1000,Top,Right,Bottom,Left,Right,Right,Bottom,Top
20211217_1416_R,20211217,1416,R,1526,19573,20386,38331,30,1,-4,18,20,21,18,NA,17945,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,160,160,160,160,140,140,180,180,10,10,10,10,10,10,70,70,1000,1000,1000,1000,1000,1000,1000,1000,Bottom,Left,Top,Right,Bottom,Bottom,Right,Top
20211220_0954_R,20211220,0954,R,2006,20000,20823,38766,30,2,-1,18,21,23,17,NA,17943,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,160,160,160,160,140,140,180,180,10,10,10,10,10,10,70,70,1000,1000,1000,1000,1000,1000,1000,1000,Left,Right,Left,Right,Right,Right,Top,Top
20211220_1423_R,20211220,1423,R,1420,19467,20177,38223,30,-1,-3,18,21,17,17,NA,18046,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,160,160,155,160,140,154,180,180,10,10,10,10,10,0,70,70,1000,1000,1000,1000,1000,1000,1000,1000,Right,Left,Left,Right,Bottom,Top,Right,Top
20211220_1527_R,20211220,1527,R,1959,20044,20817,38851,30,0,-1,18,21,17,17,NA,18034,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,160,160,160,160,140,140,180,180,10,10,10,10,10,10,70,70,1000,1000,1000,1000,1000,1000,1000,1000,Bottom,Right,Right,Left,Top,Top,Top,Top
20211221_1356_R,20211221,1356,R,1691,19723,20594,38625,30,0,-3,16,25,20,17,NA,18031,False,False,True,False,False,False,False,False,0,0,0,0,0,0,0,0,160,160,155,160,140,140,180,180,10,10,10,10,10,10,70,70,1000,1000,1000,1000,1000,1000,1000,1000,Top,Top,Top,Bottom,Top,Bottom,Top,Top
20211221_1452_R,20211221,1452,R,1734,19730,20444,38440,30,-11,-2,18,23,7,31,NA,17996,False,False,False,False,True,False,False,False,0,0,0,0,0,0,0,0,160,160,155,160,137,155,180,180,10,10,10,10,10,10,70,70,1000,1000,1000,1000,1000,1000,1000,1000,Top,Right,Left,Top,Left,Top,Left,Bottom
20211222_0946_R,20211222,0946,R,1751,19826,20598,38621,30,-1,-4,17,19,18,19,NA,18023,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,160,160,160,160,140,140,180,180,10,10,10,10,10,10,70,70,1000,1000,1000,1000,1000,1000,1000,1000,Left,Top,Right,Right,Bottom,Left,Left,Right
20211222_1045_R,20211222,1045,R,1526,19480,20090,38145,29,-2,-3,16,19,18,19,NA,18055,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,160,160,160,160,140,140,180,180,10,10,10,10,10,10,70,70,1000,1000,1000,1000,1000,1000,1000,1000,Right,Right,NA,Bottom,Top,Bottom,NA,Right
