sample,assay,video,total_seconds,success_count,frame_count,prop_success
20220323_1422_38-2_40-1_R_q2,open_field,20220323_1422_R,600,17397,17400,0.9998275862068966
20211130_1047_40-1_50-2_R_q3,novel_object,20211130_1047_R,600,17997,18000,0.9998333333333334
20211207_1439_21-2_40-1_R_q4,open_field,20211207_1439_R,600,41395,41400,0.9998792270531401
20220323_1422_38-2_40-1_R_q1,novel_object,20220323_1422_R,600,17398,17400,0.9998850574712643
20220328_1359_21-2_40-1_L_q3,open_field,20220328_1359_L,600,17398,17400,0.9998850574712643
20220408_0955_38-2_40-1_R_q1,open_field,20220408_0955_R,600,17398,17400,0.9998850574712643
20220428_1016_21-2_40-1_R_q2,novel_object,20220428_1016_R,600,17398,17400,0.9998850574712643
20211217_0951_38-2_40-1_R_q4,novel_object,20211217_0951_R,599.3666666666667,17979,17981,0.9998887714810077
20211220_1423_50-2_18-2_R_q2,open_field,20211220_1423_R,600,17998,18000,0.9998888888888889
20220405_1005_38-2_40-1_R_q4,open_field,20220405_1005_R,600,17399,17400,0.9999425287356322
20220428_1016_21-2_40-1_R_q4,novel_object,20220428_1016_R,600,17399,17400,0.9999425287356322
20220503_1019_38-2_18-2_R_q1,open_field,20220503_1019_R,600,17399,17400,0.9999425287356322
20220505_1011_38-2_40-1_L_q1,novel_object,20220505_1011_L,600,17399,17400,0.9999425287356322
20211217_0951_38-2_40-1_R_q3,novel_object,20211217_0951_R,599.3666666666667,17980,17981,0.9999443857405038
20211117_1326_38-2_21-2_R_q1,open_field,20211117_1326_R,600,17999,18000,0.9999444444444444
20211201_1500_38-2_18-2_R_q3,open_field,20211201_1500_R,600,17999,18000,0.9999444444444444
20211220_1527_38-2_21-2_R_q2,open_field,20211220_1527_R,600,17999,18000,0.9999444444444444
20211210_1346_38-2_18-2_R_q3,open_field,20211210_1346_R,600,40798,40800,0.9999509803921569
20211117_1326_38-2_21-2_R_q2,open_field,20211117_1326_R,600,18000,18000,1
20211117_1326_50-2_38-2_R_q3,open_field,20211117_1326_R,600,18000,18000,1
20211117_1326_38-2_21-2_R_q4,open_field,20211117_1326_R,600,18000,18000,1
20211117_1326_38-2_21-2_R_q2,novel_object,20211117_1326_R,600,18000,18000,1
20211117_1326_50-2_38-2_R_q3,novel_object,20211117_1326_R,600,18000,18000,1
20211117_1429_50-2_38-2_R_q2,open_field,20211117_1429_R,600,18000,18000,1
20211117_1429_50-2_38-2_R_q3,open_field,20211117_1429_R,600,18000,18000,1
20211117_1429_50-2_38-2_R_q4,open_field,20211117_1429_R,600,18000,18000,1
20211117_1429_50-2_38-2_R_q2,novel_object,20211117_1429_R,600,18000,18000,1
20211117_1429_50-2_38-2_R_q4,novel_object,20211117_1429_R,600,18000,18000,1
20211118_1017_38-2_40-1_R_q1,open_field,20211118_1017_R,600,18000,18000,1
20211118_1017_38-2_40-1_R_q2,open_field,20211118_1017_R,600,18000,18000,1
20211118_1017_38-2_40-1_R_q3,open_field,20211118_1017_R,600,18000,18000,1
20211118_1017_38-2_40-1_R_q4,open_field,20211118_1017_R,600,18000,18000,1
20211118_1110_38-2_40-1_R_q1,open_field,20211118_1110_R,600,18000,18000,1
20211118_1110_38-2_40-1_R_q2,open_field,20211118_1110_R,600,18000,18000,1
20211118_1110_8-2_40-1_R_q3,open_field,20211118_1110_R,600,18000,18000,1
20211118_1110_8-2_40-1_R_q4,open_field,20211118_1110_R,600,18000,18000,1
20211118_1110_38-2_40-1_R_q1,novel_object,20211118_1110_R,600,18000,18000,1
20211118_1110_38-2_40-1_R_q2,novel_object,20211118_1110_R,600,18000,18000,1
20211118_1110_8-2_40-1_R_q3,novel_object,20211118_1110_R,600,18000,18000,1
20211118_1110_8-2_40-1_R_q4,novel_object,20211118_1110_R,600,18000,18000,1
20211125_0910_8-2_40-1_R_q1,open_field,20211125_0910_R,600,18000,18000,1
20211125_0910_8-2_40-1_R_q2,open_field,20211125_0910_R,600,18000,18000,1
20211125_0910_8-2_40-1_R_q3,open_field,20211125_0910_R,600,18000,18000,1
20211125_0910_8-2_40-1_R_q1,novel_object,20211125_0910_R,600,18000,18000,1
20211125_0910_8-2_40-1_R_q3,novel_object,20211125_0910_R,600,18000,18000,1
20211125_0910_8-2_40-1_R_q4,novel_object,20211125_0910_R,600,18000,18000,1
20211125_1006_21-2_40-1_R_q1,open_field,20211125_1006_R,600,18000,18000,1
20211125_1006_21-2_40-1_R_q2,open_field,20211125_1006_R,600,18000,18000,1
20211125_1343_21-2_50-2_R_q1,open_field,20211125_1343_R,600,18000,18000,1
20211125_1343_21-2_50-2_R_q2,open_field,20211125_1343_R,600,18000,18000,1
20211125_1343_21-2_50-2_R_q4,open_field,20211125_1343_R,600,18000,18000,1
20211125_1343_21-2_50-2_R_q1,novel_object,20211125_1343_R,600,18000,18000,1
20211125_1445_21-2_40-1_R_q1,open_field,20211125_1445_R,600,18000,18000,1
20211125_1445_21-2_40-1_R_q4,open_field,20211125_1445_R,600,18000,18000,1
20211125_1445_21-2_40-1_R_q4,novel_object,20211125_1445_R,600,18000,18000,1
20211130_0944_21-2_40-1_R_q1,open_field,20211130_0944_R,600,18000,18000,1
20211130_0944_21-2_40-1_R_q2,open_field,20211130_0944_R,600,18000,18000,1
