20211117_1326_R,30
20211117_1429_R,30
20211118_1017_R,30
20211118_1110_R,30
20211125_0910_R,30
20211125_1006_R,30
20211125_1343_R,30
20211125_1445_R,30
20211130_0944_R,30
20211130_1047_R,30
20211201_1414_R,30
20211201_1500_R,30
20211203_0937_R,68
20211203_1041_R,69
20211207_1342_R,67
20211207_1439_R,69
20211209_1319_R,69
20211209_1424_R,69
20211210_0936_R,68
20211210_1036_R,69
20211210_1346_R,68
20211213_1004_R,69
20211213_1353_R,68
20211215_0952_R,66
20211215_1423_R,30
20211217_0951_R,30
20211217_1106_R,30
20211217_1416_R,30
20211220_0954_R,30
20211220_1423_R,30
20211220_1527_R,30
20211221_1356_R,30
20211221_1452_R,30
20211222_0946_R,30
20211222_1045_R,29
20220321_0959_L,30
20220321_1001_R,29
20220322_1011_R,29
20220322_1014_L,29
20220323_1421_L,29
20220323_1422_R,29
20220325_1010_L,29
20220325_1011_R,29
20220328_1359_L,29
20220328_1400_R,29
20220329_0919_L,29
20220329_0921_R,29
20220330_0917_L,29
20220330_0918_R,29
20220401_0953_L,29
20220401_0955_R,29
20220405_1004_L,29
20220405_1005_R,29
20220408_0953_L,29
20220408_0955_R,29
20220411_1009_L,29
20220411_1010_R,29
